open goals;0
Nodes;98,984
Branches;663
Interactive steps;360
Symbolic execution steps;793
Automode time;12min
Automode time;730911ms
Avg. time per step;7.384ms
Rule applications
Quantifier instantiations;440
One-step Simplifier apps;8970
SMT solver apps;0
Dependency Contract apps;82
Operation Contract apps;52
Block/Loop Contract apps;0
Loop invariant apps;1
Merge Rule apps;0
Total rule apps;123,301
interactive;applyEq;88
interactive;andRight;47
interactive;eqTermCut;27
interactive;allLeft;22
interactive;seqGetAlphaCast;22
interactive;impLeft;15
interactive;Use Dependency Contract;14
interactive;castedGetAny;13
interactive;ineffectiveCast;11
interactive;ineffectiveCast2;11
interactive;One Step Simplification;10
interactive;Class_invariant_axiom_for_fr_up_xlim_sic_ig_jerboa_jme_model_JMEGraph;9
interactive;allRight;9
interactive;ifthenelse_split;9
interactive;exLeft;8
interactive;getOfSeqConcat;7
interactive;exRight;6
interactive;castDel;5
interactive;getOfSeqSingleton;5
interactive;Partial_inv_axiom_for_JML_class_invariant_in_java_util_Collection_no_1;4
interactive;replace_known_left;4
interactive;Evaluate Query;2
interactive;applyEqReverse;2
interactive;createdDefinition;2
interactive;doubleImpLeft;2
interactive;eqSymm;2
interactive;Definition_axiom_for_nodesAreUnique_in_fr_up_xlim_sic_ig_jerboa_jme_model_JMEGraph;1
interactive;cut;1
interactive;pullOut;1
interactive;replace_known_right;1
