open goals;0
Nodes;66,193
Branches;610
Interactive steps;107
Symbolic execution steps;675
Automode time;286.3s
Automode time;286395ms
Avg. time per step;4.326ms
Rule applications
Quantifier instantiations;239
One-step Simplifier apps;6907
SMT solver apps;0
Dependency Contract apps;104
Operation Contract apps;69
Block/Loop Contract apps;0
Loop invariant apps;1
Merge Rule apps;0
Total rule apps;90,448
interactive;andRight;20
interactive;ifthenelse_split;12
interactive;One Step Simplification;8
interactive;allLeft;8
interactive;impLeft;8
interactive;Use Dependency Contract;7
interactive;applyEq;6
interactive;add_zero_right;5
interactive;Partial_inv_axiom_for_JML_class_invariant_in_java_util_Collection_no_5;4
interactive;applyEqReverse;4
interactive;replace_known_left;4
interactive;getOfSeqConcat;3
interactive;allRight;2
interactive;bsum_induction_upper;2
interactive;eqTermCut;2
interactive;equal_bsum5;2
interactive;getOfSeqSub;2
interactive;sub_zero_2;2
interactive;add_eq_back;1
interactive;castedGetAny;1
interactive;createdDefinition;1
interactive;getOfSeqSingleton;1
interactive;lenOfSeqConcat;1
interactive;polySimp_addComm0;1
