open goals;0
Nodes;61,095
Branches;352
Interactive steps;214
Symbolic execution steps;456
Automode time;14min
Automode time;883664ms
Avg. time per step;14.464ms
Rule applications
Quantifier instantiations;62
One-step Simplifier apps;6561
SMT solver apps;0
Dependency Contract apps;14
Operation Contract apps;20
Block/Loop Contract apps;0
Loop invariant apps;2
Merge Rule apps;0
Total rule apps;83,437
interactive;applyEq;30
interactive;eqTermCut;27
interactive;andRight;21
interactive;seqGetAlphaCast;21
interactive;allLeft;19
interactive;impLeft;19
interactive;castedGetAny;16
interactive;Class_invariant_axiom_for_fr_up_xlim_sic_ig_jerboa_jme_model_JMEGraph;13
interactive;ineffectiveCast;13
interactive;ineffectiveCast2;7
interactive;Class_invariant_axiom_for_fr_up_xlim_sic_ig_jerboa_jme_model_JMENode;6
interactive;allRight;5
interactive;Class_invariant_axiom_for_up_jerboa_core_JerboaOrbit;2
interactive;Definition_axiom_for_verifyDimensions_in_up_jerboa_core_JerboaOrbit;2
interactive;applyEqReverse;2
interactive;replace_known_left;2
interactive;selectCreatedOfAnon;2
interactive;selectCreatedOfAnonEQ;2
interactive;Definition_axiom_for_hasCorrectDimensionsNodes_in_fr_up_xlim_sic_ig_jerboa_jme_model_JMEGraph;1
interactive;andLeft;1
interactive;cut_direct;1
interactive;referencedObjectIsCreatedRightFinal;1
interactive;replace_known_right;1
